,bin_width,corr_coef,first_cell_id,p_value,region,second_cell_id,stim_id
0,0.01,0.04544817803409826,3580,0.04212493897257528,motor_cortex,2230,1
1,0.01,0.024462456894162436,3454,0.27418573438245025,motor_cortex,3500,1
2,0.01,0.09222221106085991,3533,3.6192950716582664e-05,motor_cortex,3492,1
3,0.01,0.00976047492217773,3456,0.6626631845405171,motor_cortex,3542,1
4,0.01,0.10861797661051989,3463,1.122110758794537e-06,motor_cortex,3542,1
5,0.01,0.013056134405700656,3518,0.5595245101743982,motor_cortex,3454,1
6,0.01,0.028025153183415003,3580,0.21028379684775805,motor_cortex,3698,1
7,0.01,-0.011792300166661924,3508,0.5981544781261774,motor_cortex,3602,1
8,0.01,0.06402805012349008,3471,0.004175747546619889,motor_cortex,3500,1
9,0.01,0.07255197352579985,3452,0.0011668007696979052,motor_cortex,3471,1
10,0.01,0.0290907987272943,3471,0.19344954505084858,motor_cortex,3454,1
11,0.01,0.017882643108054763,3492,0.42411645352856997,motor_cortex,3455,1
12,0.01,0.3684568157029193,3452,2.4062747057861404e-65,motor_cortex,3463,1
13,0.01,0.1635359880861097,3452,1.8589033965817894e-13,motor_cortex,3518,1
14,0.01,0.10061573197157783,3533,6.5348035693632105e-06,motor_cortex,3542,1
15,0.01,-0.004256244193884816,3558,0.8491313417282472,motor_cortex,2230,1
16,0.01,0.012673796251418698,3602,0.5710826105907074,motor_cortex,3492,1
17,0.01,0.052644768836610366,3533,0.018547319466772676,motor_cortex,3500,1
18,0.01,0.003810380423987992,3533,0.8647746224445272,motor_cortex,3580,1
19,0.01,0.0900664033326769,3533,5.4934946226129046e-05,motor_cortex,3471,1
20,0.01,0.07217462818549807,3491,0.0012381511872981608,motor_cortex,3494,1
21,0.01,-0.0030082929293779983,3518,0.8930458405555923,motor_cortex,3500,1
22,0.01,-0.02105353866000873,3698,0.3466748616609553,motor_cortex,2740,1
23,0.01,0.009618522567801572,3580,0.6672724399033609,motor_cortex,3602,1
24,0.01,-0.0016923251140415572,3491,0.939708839008811,motor_cortex,3456,1
25,0.01,-0.07830710053992335,3463,0.00045627475978930965,motor_cortex,3602,1
26,0.01,-0.018587374874495518,3580,0.4060839323589843,motor_cortex,3518,1
27,0.01,-0.01993423960370755,3460,0.37291978829511485,motor_cortex,3508,1
28,0.01,0.17605100913486518,3491,2.185574852820218e-15,motor_cortex,3518,1
29,0.01,-0.006031302105967098,3454,0.7874973510454978,motor_cortex,3455,1
30,0.02,0.05115660154475017,3580,0.10593244403342801,motor_cortex,2230,1
31,0.02,0.04278776523933968,3454,0.17637697202870548,motor_cortex,3500,1
32,0.02,0.14020603911310314,3533,8.580733695921552e-06,motor_cortex,3492,1
33,0.02,0.007617926003367322,3456,0.809863472094299,motor_cortex,3542,1
34,0.02,0.18201914276616357,3463,6.741310882088955e-09,motor_cortex,3542,1
35,0.02,0.008168166622888821,3518,0.7964213000199396,motor_cortex,3454,1
36,0.02,0.04041896568208138,3580,0.2015728805004419,motor_cortex,3698,1
37,0.02,0.0156700468720425,3508,0.6206417612321311,motor_cortex,3602,1
38,0.02,0.08872493139743035,3471,0.004988762972435286,motor_cortex,3500,1
39,0.02,0.10384624206983277,3452,0.0010065324183786211,motor_cortex,3471,1
40,0.02,0.053955584599301616,3471,0.08813220728357965,motor_cortex,3454,1
41,0.02,0.08674306676931498,3492,0.006054762761068013,motor_cortex,3455,1
42,0.02,0.5023019762011314,3452,4.87391281925646e-65,motor_cortex,3463,1
43,0.02,0.26481097828066597,3452,1.650613922597664e-17,motor_cortex,3518,1
44,0.02,0.1822643812464693,3533,6.429333285962085e-09,motor_cortex,3542,1
45,0.02,-0.04363001923739844,3558,0.16800786422931605,motor_cortex,2230,1
46,0.02,0.004360798440920038,3602,0.8904548087039134,motor_cortex,3492,1
47,0.02,0.08602988818156768,3533,0.006485880590413676,motor_cortex,3500,1
48,0.02,-0.04363883162470567,3533,0.16792190133330856,motor_cortex,3580,1
49,0.02,0.1814213781784919,3533,7.564601262977218e-09,motor_cortex,3471,1
50,0.02,0.119561492199151,3491,0.0001508055763129471,motor_cortex,3494,1
51,0.02,0.023636829271446034,3518,0.45528595768618685,motor_cortex,3500,1
52,0.02,-0.029879603544199506,3698,0.3452181952730544,motor_cortex,2740,1
53,0.02,0.01619071232239148,3580,0.609079091117338,motor_cortex,3602,1
54,0.02,-0.023643962141517826,3491,0.45514988975523263,motor_cortex,3456,1
55,0.02,-0.1265045832320569,3463,6.0321579341137144e-05,motor_cortex,3602,1
56,0.02,-0.033931807662290404,3580,0.2837269400245999,motor_cortex,3518,1
57,0.02,-0.03062477155524402,3460,0.3333161360184932,motor_cortex,3508,1
58,0.02,0.23359892351507325,3491,7.344884641882703e-14,motor_cortex,3518,1
59,0.02,0.01951627008496854,3454,0.5376005532361479,motor_cortex,3455,1
60,0.03,0.0717526175550118,3580,0.06544021255299905,motor_cortex,2230,1
61,0.03,0.11214009174368623,3454,0.003919444321391821,motor_cortex,3500,1
62,0.03,0.2172901828813436,3533,1.7082495041930933e-08,motor_cortex,3492,1
63,0.03,0.02014338634775808,3456,0.6054602568496343,motor_cortex,3542,1
64,0.03,0.2715807246943094,3463,1.2691244444544633e-12,motor_cortex,3542,1
65,0.03,0.02019069500697791,3518,0.6046132603031863,motor_cortex,3454,1
66,0.03,0.03314795633715339,3580,0.3952106720101456,motor_cortex,3698,1
67,0.03,0.020440100284289296,3508,0.6001567979416629,motor_cortex,3602,1
68,0.03,0.1635995588212203,3471,2.405702398170201e-05,motor_cortex,3500,1
