stim_id,region,first_cell_id,second_cell_id,corr_coef,p_value,bin_length
2,thalamus,1572,1595,-0.6339859496017712,0.0490159357327389,2.0
2,thalamus,1572,1595,-0.35281290056884534,0.1270630816051146,1.0
2,thalamus,1572,1595,-0.2527036212323311,0.1156694408192821,0.5
2,thalamus,1572,1595,-0.19622099326055498,0.17202771279520687,0.4
2,thalamus,1572,1595,-0.17141935890304638,0.1284183762189286,0.25
2,thalamus,1572,1595,-0.060496435455196736,0.5499023394510516,0.2
2,thalamus,1572,1595,-0.01786994823738169,0.8016940944968352,0.1
2,thalamus,1572,1595,-0.02969064194524718,0.5537936400360091,0.05
