,region,cell_id,stim_id,firing_rate_mean,firing_rate_std,num_samples,bin_width
87,hippocampus,1359,3,18.45,38.79884244520116,2000,0.01
88,hippocampus,1359,4,18.5,38.83946771167265,2000,0.01
89,hippocampus,1359,5,17.55,38.04893376535458,2000,0.01
90,hippocampus,1359,6,18.65,39.088891909791535,2000,0.01
91,hippocampus,1359,7,18.5,38.83946771167263,2000,0.01
92,hippocampus,1359,8,18.75,39.04099896006631,2000,0.01
93,hippocampus,1359,9,18.25,38.635266815708135,2000,0.01
94,hippocampus,1359,10,18.5,38.83946771167267,2000,0.01
95,hippocampus,1359,11,19.55,39.794337469636645,2000,0.01
96,hippocampus,1359,12,18.6,38.92039823407961,2000,0.01
97,hippocampus,1359,13,17.25,37.7908927625148,2000,0.01
98,hippocampus,1359,14,18.65,38.960704154752065,2000,0.01
99,hippocampus,1359,15,18.2,38.59410255953866,2000,0.01
100,hippocampus,1359,16,18.555555555555557,38.8855623836458,1800,0.01
101,hippocampus,1359,17,18.55,38.87998619679966,2000,0.01
102,hippocampus,1539,1,30.7,50.18734287340133,2000,0.01
103,hippocampus,1539,2,32.35,49.7967605239471,2000,0.01
104,hippocampus,1539,3,32.35,48.78183405394707,2000,0.01
105,hippocampus,1539,4,28.95,47.09571640023782,2000,0.01
106,hippocampus,1539,5,30.85,47.90015357340907,2000,0.01
107,hippocampus,1539,6,28.7,48.03606698998094,2000,0.01
108,hippocampus,1539,7,30.75,48.27631718970182,2000,0.01
109,hippocampus,1539,8,29.45,47.42174512768881,2000,0.01
110,hippocampus,1539,9,29.55,48.19708476131875,2000,0.01
111,hippocampus,1539,10,30.45,48.67218909187768,2000,0.01
112,hippocampus,1539,11,29.05,47.667951674142685,2000,0.01
113,hippocampus,1539,12,29.05,47.14030763902746,2000,0.01
114,hippocampus,1539,13,29.85,48.11585048124752,2000,0.01
115,hippocampus,1539,14,28.7,47.1955899619438,2000,0.01
116,hippocampus,1539,15,30.85,49.1374067526074,2000,0.01
117,hippocampus,1539,16,27.77777777777778,46.98296683245655,1800,0.01
118,hippocampus,1539,17,28.9,47.496504702761975,2000,0.01
119,hippocampus,1545,1,26.1,43.92897537433262,2000,0.01
120,hippocampus,1545,2,25.7,43.708869038403435,2000,0.01
121,hippocampus,1545,3,26.7,44.2502999370881,2000,0.01
122,hippocampus,1545,4,26.3,44.03725286413659,2000,0.01
123,hippocampus,1545,5,26.35,44.064138754344,2000,0.01
124,hippocampus,1545,6,26.15,43.95615510694601,2000,0.01
125,hippocampus,1545,7,25.95,43.8469928203713,2000,0.01
126,hippocampus,1545,8,26.35,44.06413875434401,2000,0.01
127,hippocampus,1545,9,26.55,44.17095240673738,2000,0.01
128,hippocampus,1545,10,26.85,44.32899762023736,2000,0.01
129,hippocampus,1545,11,26.25,44.010293716089734,2000,0.01
130,hippocampus,1545,12,26.8,44.30283705007323,2000,0.01
131,hippocampus,1545,13,27.25,44.64789151918101,2000,0.01
132,hippocampus,1545,14,26.6,44.19747400422535,2000,0.01
133,hippocampus,1545,15,25.3,43.59885812971609,2000,0.01
134,hippocampus,1545,16,26.0,43.87561376261457,1800,0.01
135,hippocampus,1545,17,26.4,44.09095152072592,2000,0.01
136,hippocampus,1548,1,20.55,54.26020258709321,2000,0.01
137,hippocampus,1548,2,23.65,54.37973959149695,2000,0.01
138,hippocampus,1548,3,19.05,51.12146517952171,2000,0.01
139,hippocampus,1548,4,19.95,53.93006328443288,2000,0.01
140,hippocampus,1548,5,21.1,51.924349481091355,2000,0.01
141,hippocampus,1548,6,20.1,51.83949909898253,2000,0.01
142,hippocampus,1548,7,20.85,53.30758247355238,2000,0.01
143,hippocampus,1548,8,19.15,52.34164043724492,2000,0.01
144,hippocampus,1548,9,19.7,50.131492929012644,2000,0.01
145,hippocampus,1548,10,18.15,50.664197718558945,2000,0.01
146,hippocampus,1548,11,18.3,51.831006420995784,2000,0.01
147,hippocampus,1548,12,20.05,52.86203455551709,2000,0.01
148,hippocampus,1548,13,18.25,51.60687100151768,2000,0.01
149,hippocampus,1548,14,18.5,49.88982358406004,2000,0.01
150,hippocampus,1548,15,22.55,55.660098124793485,2000,0.01
151,hippocampus,1548,16,22.22222222222222,55.14703732768094,1800,0.01
152,hippocampus,1548,17,16.15,48.22178107541281,2000,0.01
153,hippocampus,1554,1,14.05,36.16976120757376,2000,0.01
154,hippocampus,1554,2,13.6,35.151924967410494,2000,0.01
155,hippocampus,1554,3,14.65,36.346086708330816,2000,0.01
156,hippocampus,1554,4,15.25,36.78469868068127,2000,0.01
157,hippocampus,1554,5,16.9,38.27691943300349,2000,0.01
158,hippocampus,1554,6,15.45,36.56454543668632,2000,0.01
159,hippocampus,1554,7,18.95,39.95867675391618,2000,0.01
160,hippocampus,1554,8,14.85,36.4024734054572,2000,0.01
161,hippocampus,1554,9,16.95,39.855887217234766,2000,0.01
162,hippocampus,1554,10,14.5,36.19951936975543,2000,0.01
163,hippocampus,1554,11,16.7,37.839475590400056,2000,0.01
164,hippocampus,1554,12,16.8,38.581138554040415,2000,0.01
165,hippocampus,1554,13,14.55,36.523478506860734,2000,0.01
166,hippocampus,1554,14,17.15,38.23098617812619,2000,0.01
167,hippocampus,1554,15,14.15,35.8527573570716,2000,0.01
168,hippocampus,1554,16,14.61111111111111,36.26325659179625,1800,0.01
169,hippocampus,1554,17,23.05,45.32907303741403,2000,0.01
170,hippocampus,1586,1,21.6,42.47754902399084,2000,0.01
171,hippocampus,1586,2,22.8,43.14035865952714,2000,0.01
