region,first_cell_id,second_cell_id,signal_corr_coef,p_values,bin_width
motor_cortex,3471,3558,-0.6314241781253043,0.006556592908920705,0.01
motor_cortex,3542,3628,0.0012028190327168001,0.996344458545676,0.01
motor_cortex,3452,3628,-0.6699062660773931,0.0032595828597486256,0.01
motor_cortex,3491,3524,-0.17349222863966585,0.5054627608224979,0.01
motor_cortex,3580,3628,0.5743897699276503,0.015886805838901428,0.01
motor_cortex,3460,3500,-0.0741603949860858,0.7772765923284073,0.01
motor_cortex,3455,3628,-0.3913878360155481,0.12029104194324065,0.01
motor_cortex,3580,3602,0.27599353526790976,0.2835962980037599,0.01
motor_cortex,3491,3463,0.19199066223712713,0.46038560572301324,0.01
motor_cortex,3452,3503,-0.48104310079014556,0.05060309974522306,0.01
motor_cortex,3580,3542,0.12218418823222572,0.6403834805679036,0.01
motor_cortex,3508,3524,0.11048666844822576,0.6729186332474437,0.01
motor_cortex,3494,3492,-0.39800830072412324,0.11359846271964495,0.01
motor_cortex,3518,3455,0.5067265076819422,0.037908758446161504,0.01
motor_cortex,3503,3492,-0.581099040647937,0.014431419826819707,0.01
motor_cortex,3452,3471,-0.32355746325962226,0.20520511325815038,0.01
motor_cortex,3456,3500,-0.2510981174065373,0.3309804233576512,0.01
motor_cortex,3649,3492,0.391454333027663,0.1202224780375541,0.01
motor_cortex,3533,3491,0.5738922723810709,0.01599915129227504,0.01
motor_cortex,3500,3524,-0.575073470577752,0.01573342462631303,0.01
motor_cortex,3452,3518,0.7073220744401416,0.0014945586645522682,0.01
motor_cortex,3542,3454,0.08381851376998782,0.7490955865342952,0.01
motor_cortex,3460,3463,0.7986906369609655,0.00012074663288133889,0.01
motor_cortex,3533,3500,-0.16342374176896335,0.5308393221146922,0.01
motor_cortex,3580,3494,0.04257828400574106,0.87110478515447,0.01
motor_cortex,3460,3558,0.352440235439575,0.16530000534379435,0.01
motor_cortex,3533,3452,0.6037901948555873,0.010270751023380915,0.01
motor_cortex,3456,3649,-0.05928210661410371,0.8211964707104729,0.01
motor_cortex,3533,3454,0.767120200084863,0.0003260686910195374,0.01
motor_cortex,3456,3628,0.12211400095971468,0.6405769332517357,0.01
motor_cortex,3471,3558,-0.6314241781253043,0.006556592908920705,0.02
motor_cortex,3542,3628,0.0012028190327168001,0.996344458545676,0.02
motor_cortex,3452,3628,-0.6699062660773931,0.0032595828597486256,0.02
motor_cortex,3491,3524,-0.17349222863966585,0.5054627608224979,0.02
motor_cortex,3580,3628,0.5743897699276503,0.015886805838901428,0.02
motor_cortex,3460,3500,-0.0741603949860858,0.7772765923284073,0.02
motor_cortex,3455,3628,-0.3913878360155481,0.12029104194324065,0.02
motor_cortex,3580,3602,0.27599353526790976,0.2835962980037599,0.02
motor_cortex,3491,3463,0.19199066223712713,0.46038560572301324,0.02
motor_cortex,3452,3503,-0.48104310079014556,0.05060309974522306,0.02
motor_cortex,3580,3542,0.12218418823222572,0.6403834805679036,0.02
motor_cortex,3508,3524,0.11048666844822576,0.6729186332474437,0.02
motor_cortex,3494,3492,-0.39800830072412324,0.11359846271964495,0.02
motor_cortex,3518,3455,0.5067265076819422,0.037908758446161504,0.02
motor_cortex,3503,3492,-0.581099040647937,0.014431419826819707,0.02
motor_cortex,3452,3471,-0.32355746325962226,0.20520511325815038,0.02
motor_cortex,3456,3500,-0.2510981174065373,0.3309804233576512,0.02
motor_cortex,3649,3492,0.391454333027663,0.1202224780375541,0.02
motor_cortex,3533,3491,0.5738922723810709,0.01599915129227504,0.02
motor_cortex,3500,3524,-0.575073470577752,0.01573342462631303,0.02
motor_cortex,3452,3518,0.7073220744401416,0.0014945586645522682,0.02
motor_cortex,3542,3454,0.08381851376998782,0.7490955865342952,0.02
motor_cortex,3460,3463,0.7986906369609655,0.00012074663288133889,0.02
motor_cortex,3533,3500,-0.16342374176896335,0.5308393221146922,0.02
motor_cortex,3580,3494,0.04257828400574106,0.87110478515447,0.02
motor_cortex,3460,3558,0.352440235439575,0.16530000534379435,0.02
motor_cortex,3533,3452,0.6037901948555873,0.010270751023380915,0.02
motor_cortex,3456,3649,-0.05928210661410371,0.8211964707104729,0.02
motor_cortex,3533,3454,0.767120200084863,0.0003260686910195374,0.02
motor_cortex,3456,3628,0.12211400095971468,0.6405769332517357,0.02
motor_cortex,3471,3558,-0.6119286632269544,0.009036469924879841,0.03
motor_cortex,3542,3628,-0.008926092122821565,0.9728769091169979,0.03
motor_cortex,3452,3628,-0.6697936338573225,0.00326671866140724,0.03
motor_cortex,3491,3524,-0.17791697655523506,0.49449506656049647,0.03
motor_cortex,3580,3628,0.593249452610659,0.012064729030066506,0.03
motor_cortex,3460,3500,-0.10604579691014007,0.6854192790343623,0.03
motor_cortex,3455,3628,-0.3724496010217437,0.14095015233925787,0.03
motor_cortex,3580,3602,0.24264373355603452,0.34805384440354686,0.03
motor_cortex,3491,3463,0.1749766490527286,0.5017705658982032,0.03
motor_cortex,3452,3503,-0.5182172958959944,0.03308716300530874,0.03
motor_cortex,3580,3542,0.1124740614156854,0.6673501991931086,0.03
motor_cortex,3508,3524,0.12630223753766423,0.6290718403778137,0.03
motor_cortex,3494,3492,-0.38278948893576703,0.12938910948365107,0.03
motor_cortex,3518,3455,0.4665317568136337,0.05905538829317676,0.03
motor_cortex,3503,3492,-0.5911267296188898,0.012454318276811677,0.03
motor_cortex,3452,3471,-0.31006312920692364,0.22582728869867044,0.03
motor_cortex,3456,3500,-0.2207503075925198,0.3945330142629485,0.03
motor_cortex,3649,3492,0.39245020859067864,0.11919892293103926,0.03
motor_cortex,3533,3491,0.5669493806218873,0.017633146422110977,0.03
motor_cortex,3500,3524,-0.5648560665048237,0.01815061083888903,0.03
motor_cortex,3452,3518,0.7255576836544804,0.000978554614702121,0.03
motor_cortex,3542,3454,0.10750994748167272,0.6812891112417825,0.03
motor_cortex,3460,3463,0.787005667786447,0.0001777383678136414,0.03
motor_cortex,3533,3500,-0.16578607122502767,0.5248337996726843,0.03
motor_cortex,3580,3494,-0.027737024357967436,0.9158432341024497,0.03
motor_cortex,3460,3558,0.3493098517019094,0.1693502797250212,0.03
motor_cortex,3533,3452,0.6343922988492207,0.0062325943947709565,0.03
motor_cortex,3456,3649,-0.0360551953810913,0.8907306658206106,0.03
motor_cortex,3533,3454,0.7793216473774428,0.0002263268296027648,0.03
motor_cortex,3456,3628,0.13327678647534366,0.6100916090359922,0.03
motor_cortex,3471,3558,-0.6314241781253043,0.006556592908920705,0.04
motor_cortex,3542,3628,0.0012028190327168001,0.996344458545676,0.04
motor_cortex,3452,3628,-0.6699062660773931,0.0032595828597486256,0.04
motor_cortex,3491,3524,-0.17349222863966585,0.5054627608224979,0.04
motor_cortex,3580,3628,0.5743897699276503,0.015886805838901428,0.04
motor_cortex,3460,3500,-0.0741603949860858,0.7772765923284073,0.04
motor_cortex,3455,3628,-0.3913878360155481,0.12029104194324065,0.04
motor_cortex,3580,3602,0.27599353526790976,0.2835962980037599,0.04
motor_cortex,3491,3463,0.19199066223712713,0.46038560572301324,0.04
motor_cortex,3452,3503,-0.48104310079014556,0.05060309974522306,0.04
motor_cortex,3580,3542,0.12218418823222572,0.6403834805679036,0.04
motor_cortex,3508,3524,0.11048666844822576,0.6729186332474437,0.04
motor_cortex,3494,3492,-0.39800830072412324,0.11359846271964495,0.04
motor_cortex,3518,3455,0.5067265076819422,0.037908758446161504,0.04
motor_cortex,3503,3492,-0.581099040647937,0.014431419826819707,0.04
motor_cortex,3452,3471,-0.32355746325962226,0.20520511325815038,0.04
motor_cortex,3456,3500,-0.2510981174065373,0.3309804233576512,0.04
motor_cortex,3649,3492,0.391454333027663,0.1202224780375541,0.04
motor_cortex,3533,3491,0.5738922723810709,0.01599915129227504,0.04
motor_cortex,3500,3524,-0.575073470577752,0.01573342462631303,0.04
motor_cortex,3452,3518,0.7073220744401416,0.0014945586645522682,0.04
motor_cortex,3542,3454,0.08381851376998782,0.7490955865342952,0.04
motor_cortex,3460,3463,0.7986906369609655,0.00012074663288133889,0.04
motor_cortex,3533,3500,-0.16342374176896335,0.5308393221146922,0.04
motor_cortex,3580,3494,0.04257828400574106,0.87110478515447,0.04
motor_cortex,3460,3558,0.352440235439575,0.16530000534379435,0.04
motor_cortex,3533,3452,0.6037901948555873,0.010270751023380915,0.04
motor_cortex,3456,3649,-0.05928210661410371,0.8211964707104729,0.04
motor_cortex,3533,3454,0.767120200084863,0.0003260686910195374,0.04
motor_cortex,3456,3628,0.12211400095971468,0.6405769332517357,0.04
motor_cortex,3471,3558,-0.6314241781253042,0.006556592908920725,0.05
motor_cortex,3542,3628,0.0012028190327166071,0.996344458545676,0.05
motor_cortex,3452,3628,-0.6699062660773931,0.0032595828597486256,0.05
motor_cortex,3491,3524,-0.17349222863966626,0.5054627608224971,0.05
motor_cortex,3580,3628,0.5743897699276501,0.01588680583890147,0.05
motor_cortex,3460,3500,-0.07416039498608586,0.7772765923284073,0.05
motor_cortex,3455,3628,-0.3913878360155481,0.12029104194324065,0.05
motor_cortex,3580,3602,0.27599353526790943,0.28359629800376074,0.05
motor_cortex,3491,3463,0.1919906622371269,0.460385605723014,0.05
motor_cortex,3452,3503,-0.4810431007901455,0.050603099745223125,0.05
motor_cortex,3580,3542,0.12218418823222577,0.6403834805679036,0.05
motor_cortex,3508,3524,0.11048666844822597,0.6729186332474437,0.05
motor_cortex,3494,3492,-0.3980083007241232,0.1135984627196452,0.05
motor_cortex,3518,3455,0.5067265076819418,0.03790875844616164,0.05
motor_cortex,3503,3492,-0.5810990406479367,0.014431419826819768,0.05
motor_cortex,3452,3471,-0.32355746325962226,0.20520511325815038,0.05
motor_cortex,3456,3500,-0.25109811740653726,0.3309804233576512,0.05
motor_cortex,3649,3492,0.3914543330276632,0.1202224780375541,0.05
motor_cortex,3533,3491,0.5738922723810705,0.015999151292275107,0.05
motor_cortex,3500,3524,-0.5750734705777523,0.015733424626312987,0.05
motor_cortex,3452,3518,0.7073220744401417,0.0014945586645522641,0.05
motor_cortex,3542,3454,0.08381851376998799,0.7490955865342952,0.05
motor_cortex,3460,3463,0.7986906369609654,0.00012074663288133944,0.05
motor_cortex,3533,3500,-0.1634237417689637,0.5308393221146913,0.05
motor_cortex,3580,3494,0.04257828400574116,0.87110478515447,0.05
motor_cortex,3460,3558,0.35244023543957465,0.1653000053437948,0.05
motor_cortex,3533,3452,0.6037901948555874,0.010270751023380884,0.05
motor_cortex,3456,3649,-0.05928210661410328,0.8211964707104729,0.05
motor_cortex,3533,3454,0.7671202000848631,0.00032606869101953635,0.05
motor_cortex,3456,3628,0.12211400095971443,0.6405769332517357,0.05
motor_cortex,3471,3558,-0.6119286632269544,0.009036469924879841,0.06
motor_cortex,3542,3628,-0.008926092122821565,0.9728769091169979,0.06
motor_cortex,3452,3628,-0.6697936338573225,0.00326671866140724,0.06
motor_cortex,3491,3524,-0.17791697655523506,0.49449506656049647,0.06
motor_cortex,3580,3628,0.593249452610659,0.012064729030066506,0.06
motor_cortex,3460,3500,-0.10604579691014007,0.6854192790343623,0.06
