cluster_id,amplitude,depth,group,probe,region
4,228.41139666835318,34.29509012862874,good,posterior,thalamus
9,215.05667545223673,24.922440476190477,mua,posterior,thalamus
11,721.182332713646,1390.2515210176991,mua,posterior,thalamus
15,344.9575983556766,1383.4082895384058,good,posterior,thalamus
16,540.9601137273149,880.0,good,posterior,thalamus
17,399.8787478461891,1260.6389662027832,good,posterior,thalamus
19,227.03562988545738,766.5225393630024,unsorted,posterior,thalamus
24,215.60770210044865,3222.2497079439254,mua,posterior,v1
26,441.3148909762029,274.99572639592725,good,posterior,thalamus
27,276.0380452595887,938.4947995073218,good,posterior,thalamus
29,206.02789324805667,1382.056064257028,good,posterior,thalamus
32,211.89816958627597,2490.131529172123,good,posterior,hippocampus
34,503.86165520881127,1215.5449987898903,good,posterior,thalamus
38,263.3665663375531,88.26774931244769,good,posterior,thalamus
39,455.42263137214866,1172.283702716214,good,posterior,thalamus
41,222.62364232749223,1401.2050896703738,good,posterior,thalamus
42,359.3302184565105,1015.2770127118644,mua,posterior,thalamus
43,148.9337544775884,915.1354559629797,good,posterior,thalamus
45,243.11116619118073,2585.867061533399,good,posterior,hippocampus
46,58.74872766106698,1663.9848617540347,good,posterior,hippocampus
48,475.35075516105263,1304.229658125862,good,posterior,thalamus
52,461.3143543836064,701.3116211924354,good,posterior,thalamus
55,166.43973002412417,1209.3017861285084,mua,posterior,thalamus
57,343.1606226853546,983.9097676517032,good,posterior,thalamus
60,172.82550265745988,2632.7492346938775,mua,posterior,hippocampus
64,150.37628001461556,1219.22705078125,mua,posterior,thalamus
65,219.21431721779646,404.9039887307236,good,posterior,thalamus
66,259.51999929276826,626.9959609170642,good,posterior,thalamus
67,152.89275873392867,3419.999794682271,unsorted,posterior,v1
68,210.41720769302358,1275.6261629145658,good,posterior,thalamus
69,588.705161489557,740.0,good,posterior,thalamus
72,157.71382191580935,185.67571360930737,mua,posterior,thalamus
73,214.7911992204071,846.0993430397727,mua,posterior,thalamus
74,155.8058333622568,538.3525,mua,posterior,thalamus
75,151.9845353384807,372.3813766005013,unsorted,posterior,thalamus
76,508.09966127598557,701.6312016185784,mua,posterior,thalamus
80,225.44530767216997,1072.037624159727,good,posterior,thalamus
83,585.0721609358053,729.851579301946,good,posterior,thalamus
86,135.21825100526385,207.1404172207447,mua,posterior,thalamus
88,343.68957531731417,654.0242265443918,good,posterior,thalamus
91,186.87455445481245,598.040036985668,good,posterior,thalamus
92,365.20766486678207,919.644870267247,good,posterior,thalamus
96,133.824534193261,2540.054937759336,good,posterior,hippocampus
103,296.8480964108249,738.4970077698794,good,posterior,thalamus
105,206.16081873373898,2593.4894231761427,good,posterior,hippocampus
107,380.28392241868823,1398.4839997465306,good,posterior,thalamus
108,286.5842454085735,398.2239467849224,good,posterior,thalamus
109,315.88286845227753,332.02760497667185,mua,posterior,thalamus
111,208.0637863080117,228.83478969194312,good,posterior,thalamus
115,202.50793461785554,376.7564996385851,good,posterior,thalamus
119,391.88848182454,1341.5011034703343,good,posterior,thalamus
122,305.4437577648187,1356.7091049382716,mua,posterior,thalamus
124,558.7146298563837,2621.0177746178456,good,posterior,hippocampus
125,184.90738870253188,622.9944074453551,mua,posterior,thalamus
126,238.30909541379214,2590.2507518796992,mua,posterior,hippocampus
129,138.5852188148195,2935.6776712815054,good,posterior,v1
131,150.19758159886447,1381.1044694767443,mua,posterior,thalamus
135,254.04445873091132,784.1643594096905,good,posterior,thalamus
136,209.3319080052894,1837.2650394831298,good,posterior,hippocampus
142,184.34114645714752,996.0540081521739,mua,posterior,thalamus
155,406.7737223767585,632.3401907744875,mua,posterior,thalamus
156,368.6405420960042,1220.0691149635036,mua,posterior,thalamus
159,236.07095508620165,1368.500102838338,mua,posterior,thalamus
160,65.93757428711112,1716.0074641524259,good,posterior,hippocampus
165,252.75752540298413,56.29651757188498,good,posterior,thalamus
166,64.8846284319388,2042.1655405405406,mua,posterior,hippocampus
169,257.13313186935414,933.5048461245644,good,posterior,thalamus
171,440.19262002757057,1203.8124057315233,mua,posterior,thalamus
179,145.113335940108,504.97801266613146,good,posterior,thalamus
181,252.73112426988158,1380.4278846153845,mua,posterior,thalamus
184,149.02457434235035,200.9236711281071,mua,posterior,thalamus
185,336.53666519267205,903.944589702333,good,posterior,thalamus
186,303.1445757655175,756.4941628897129,good,posterior,thalamus
187,315.7348039069868,1222.2465581977472,mua,posterior,thalamus
195,160.3329106599155,781.3989912555585,good,posterior,thalamus
199,372.6139811841785,1353.990553219023,good,posterior,thalamus
200,222.7325035627093,1022.604773334541,good,posterior,thalamus
202,264.8055088138828,3502.0503384094754,good,posterior,v1
203,192.4465639600836,1040.2977851941748,mua,posterior,thalamus
204,452.4144187727664,656.2350707227282,good,posterior,thalamus
206,200.68829690993104,843.9935745140389,mua,posterior,thalamus
216,206.0788843502116,494.7084397212063,good,posterior,thalamus
219,263.76010983017653,1019.4185371517028,mua,posterior,thalamus
220,460.87729670778697,738.7822436184505,mua,posterior,thalamus
221,309.1470215521531,875.1390046296297,mua,posterior,thalamus
224,281.9022423388495,1045.6440677966102,mua,posterior,thalamus
229,169.49455719030766,1807.8854166666667,good,posterior,hippocampus
230,121.76878869719707,820.6017857142857,mua,posterior,thalamus
233,186.13978656220885,1039.7697265625,mua,posterior,thalamus
234,380.4073604492156,845.7011413043479,mua,posterior,thalamus
235,223.64373925498387,406.21785432849265,good,posterior,thalamus
238,68.65799437646578,2579.191223080049,good,posterior,hippocampus
241,727.2552401634697,237.43680129823295,good,posterior,thalamus
243,178.84175426287706,407.5425779432294,good,posterior,thalamus
244,139.09679596889882,1906.2176159274193,mua,posterior,hippocampus
246,574.2496259998086,853.9549457500121,good,posterior,thalamus
247,158.06601147689804,3494.1097428824746,good,posterior,v1
248,120.47519193739303,167.6245002998201,mua,posterior,thalamus
254,114.24320215031705,896.8433493589744,mua,posterior,thalamus
258,238.53133470323957,3320.0,good,posterior,v1
259,222.96378583031847,1414.4556796655563,good,posterior,thalamus
260,79.53603212031037,3365.0805152979065,mua,posterior,v1
262,127.80321979182351,2520.5621268656714,mua,posterior,hippocampus
263,515.870235180662,1014.6768353174604,mua,posterior,thalamus
265,102.02357924423086,2995.3873654980907,good,posterior,v1
267,195.19860857352853,2659.003344853613,good,posterior,hippocampus
268,202.015829442365,1450.8817182850398,good,posterior,thalamus
269,87.44391585418232,2425.4911612462156,mua,posterior,hippocampus
271,175.6046553483035,852.0150240384615,mua,posterior,thalamus
272,200.92109976208835,1928.797280165956,good,posterior,hippocampus
275,227.42396273167108,1020.2482786016949,mua,posterior,thalamus
280,474.6081753157545,234.56245457848837,mua,posterior,thalamus
282,155.3170764683875,406.6217439551454,mua,posterior,thalamus
291,273.7481039821694,1039.770621827411,mua,posterior,thalamus
294,64.88267774902705,2462.586869266055,mua,posterior,hippocampus
298,153.97490595623887,1450.2432474874372,mua,posterior,thalamus
